Year,Winter mean,Winter std,Summer mean,Summer std
1953,-5.600255,6.126864,16.406055,3.934636
1954,-6.244444,6.804128,15.292479,3.890385
1955,-4.430118,6.128557,16.218130,5.347337
1956,-10.640902,8.521185,14.641628,4.101369
1957,-2.570243,3.819242,15.355556,4.520857
1958,-6.520062,7.548571,14.423309,4.134828
1959,-4.384036,5.514050,16.601709,5.241650
1960,-8.226060,6.465761,16.439979,4.075706
1961,-1.478933,4.176245,15.623188,4.065207
1962,-4.632616,5.604644,13.211363,3.645542
1963,-9.105380,6.752923,16.023934,3.985464
1974,-3.279085,5.764887,14.952347,3.695450
1975,-1.177366,4.748253,15.942050,5.123269
1976,-6.253034,6.717032,14.695880,4.315147
1977,-6.382108,6.345266,14.655583,4.451825
1978,-6.770544,6.506500,14.494898,4.373667
1979,-10.229789,7.301043,15.658653,3.685094
1980,-7.111573,7.022921,15.723575,4.408633
1981,-4.383685,5.345069,14.573277,3.819438
1982,-7.399796,6.356164,14.799166,5.117091
1983,-3.133231,5.601915,15.811563,4.942163
1984,-4.143949,5.425448,14.785346,4.130413
1985,-10.695570,8.644282,15.160619,4.091683
1986,-8.563499,6.408459,15.908223,4.494976
1987,-10.692249,9.477377,13.519579,3.923101
1988,-3.707193,5.099690,16.628719,4.491201
1989,-2.112426,5.335813,16.049434,4.662242
1990,-2.631548,6.132146,15.349769,3.975498
1991,-3.339163,5.141685,15.843778,4.413569
1992,-1.608240,4.424515,15.957041,4.534703
1993,-1.299265,4.581698,13.481033,3.902560
1994,-6.125767,6.554578,16.077275,5.452724
1995,-1.300432,3.742750,16.572492,4.596705
1996,-7.915615,6.278199,15.349163,4.157261
1997,-4.155354,6.232371,17.877768,4.677717
1998,-3.043657,5.448989,14.850190,3.599733
1999,-4.609562,7.049954,17.778779,4.874894
2000,-2.417787,4.933444,15.664338,3.888321
2001,-2.785776,7.125427,17.097321,4.672936
2002,-3.858090,6.219895,18.549967,4.177896
2003,-7.943814,7.561020,16.541669,5.223672
2004,-4.294240,5.566629,15.402802,4.130424
2005,-2.298272,4.953866,16.365025,4.313081
2006,-5.746270,6.560392,17.844162,4.801783
2007,-2.705813,7.691416,16.787325,4.527861
2008,0.534030,3.022717,15.496770,3.875509
2009,-2.787150,4.601370,15.818584,4.559684
2010,-8.978846,6.728979,18.367692,5.550013
2011,-8.588810,6.971941,18.362564,4.564835
2012,-3.555912,6.778737,15.702300,4.088371
2013,-5.167738,5.022270,17.680065,4.231940
2014,-2.214566,6.542239,17.041426,5.475366
2015,-0.944660,4.450525,15.547563,4.039588
2016,-2.908487,7.854796,16.307573,3.794999
2017,-2.263190,5.119013,15.092209,4.049328
2018,-3.175084,5.703606,18.251514,5.224828
2019,-2.888747,5.258364,17.074209,4.506044
